customer_code,customer,platform,channel,market,sub_zone,region
70002017.0,Atliq Exclusive,Brick & Mortar,Direct,India,India,APAC
70002018.0,Atliq e Store,E-Commerce,Direct,India,India,APAC
70003181.0,Atliq Exclusive,Brick & Mortar,Direct,Indonesia,ROA,APAC
70003182.0,Atliq e Store,E-Commerce,Direct,Indonesia,ROA,APAC
70004069.0,Atliq Exclusive,Brick & Mortar,Direct,Japan,ROA,APAC
70004070.0,Atliq e Store,E-Commerce,Direct,Japan,ROA,APAC
70005163.0,Atliq e Store,E-Commerce,Direct,Pakistan,ROA,APAC
70006157.0,Atliq Exclusive,Brick & Mortar,Direct,Philiphines,ROA,APAC
70006158.0,Atliq e Store,E-Commerce,Direct,Philiphines,ROA,APAC
70007198.0,Atliq Exclusive,Brick & Mortar,Direct,South Korea,ROA,APAC
70007199.0,Atliq e Store,E-Commerce,Direct,South Korea,ROA,APAC
70008169.0,Atliq Exclusive,Brick & Mortar,Direct,Australia,ANZ,APAC
70008170.0,Atliq e Store,E-Commerce,Direct,Australia,ANZ,APAC
70009133.0,Atliq Exclusive,Brick & Mortar,Direct,Newzealand,ANZ,APAC
70009134.0,Atliq e Store,E-Commerce,Direct,Newzealand,ANZ,APAC
70010047.0,Atliq Exclusive,Brick & Mortar,Direct,Bangladesh,ROA,APAC
70010048.0,Atliq e Store,E-Commerce,Direct,Bangladesh,ROA,APAC
70011193.0,Atliq Exclusive,Brick & Mortar,Direct,France,SE,EU
70011194.0,Atliq e Store,E-Commerce,Direct,France,SE,EU
70012042.0,Atliq Exclusive,Brick & Mortar,Direct,Germany,NE,EU
70012043.0,Atliq e Store,E-Commerce,Direct,Germany,NE,EU
70013125.0,Atliq Exclusive,Brick & Mortar,Direct,Italy,SE,EU
70013126.0,Atliq e Store,E-Commerce,Direct,Italy,SE,EU
70014142.0,Atliq Exclusive,Brick & Mortar,Direct,Netherlands,NE,EU
70014143.0,Atliq e Store,E-Commerce,Direct,Netherlands,NE,EU
70015151.0,Atliq Exclusive,Brick & Mortar,Direct,Norway,NE,EU
70015152.0,Atliq e Store,E-Commerce,Direct,Norway,NE,EU
70016177.0,Atliq Exclusive,Brick & Mortar,Direct,Poland,NE,EU
70016178.0,Atliq e Store,E-Commerce,Direct,Poland,NE,EU
70017060.0,Atliq e Store,E-Commerce,Direct,Portugal,SE,EU
70018115.0,Atliq e Store,E-Commerce,Direct,Spain,SE,EU
70019204.0,Atliq e Store,E-Commerce,Direct,Sweden,NE,EU
70020104.0,Atliq e Store,E-Commerce,Direct,Austria,NE,EU
70021096.0,Atliq e Store,E-Commerce,Direct,United Kingdom,NE,EU
70022084.0,Atliq Exclusive,Brick & Mortar,Direct,USA,NA,NA
70022085.0,Atliq e Store,E-Commerce,Direct,USA,NA,NA
70023031.0,Atliq Exclusive,Brick & Mortar,Direct,Canada,NA,NA
70023032.0,Atliq e Store,E-Commerce,Direct,Canada,NA,NA
70026206.0,Atliq e Store,E-Commerce,Direct,Mexico,LATAM,LATAM
70027208.0,Atliq e Store,E-Commerce,Direct,Brazil,LATAM,LATAM
80001019.0,Neptune,Brick & Mortar,Distributor,China,ROA,APAC
80006154.0,Synthetic,Brick & Mortar,Distributor,Philiphines,ROA,APAC
80006155.0,Novus,Brick & Mortar,Distributor,Philiphines,ROA,APAC
80007195.0,Sage,Brick & Mortar,Distributor,South Korea,ROA,APAC
80007196.0,Leader,Brick & Mortar,Distributor,South Korea,ROA,APAC
90001020.0,Zone,Brick & Mortar,Retailer,China,ROA,APAC
90001021.0,Taobao,E-Commerce,Retailer,China,ROA,APAC
90002001.0,Reliance Digital,Brick & Mortar,Retailer,India,India,APAC
90002002.0,Croma,Brick & Mortar,Retailer,India,India,APAC
90002003.0,Ezone,Brick & Mortar,Retailer,India,India,APAC
90002004.0,Vijay Sales,Brick & Mortar,Retailer,India,India,APAC
90002005.0,Lotus,Brick & Mortar,Retailer,India,India,APAC
90002006.0,Viveks,Brick & Mortar,Retailer,India,India,APAC
90002007.0,Girias,Brick & Mortar,Retailer,India,India,APAC
90002008.0,Amazon,E-Commerce,Retailer,India,India,APAC
90002009.0,Flipkart,E-Commerce,Retailer,India,India,APAC
90002010.0,Ebay,E-Commerce,Retailer,India,India,APAC
90002011.0,Atliq Exclusive,Brick & Mortar,Retailer,India,India,APAC
90002012.0,Electricalsocity,Brick & Mortar,Retailer,India,India,APAC
90002013.0,Electricalslytical,Brick & Mortar,Retailer,India,India,APAC
90002014.0,Expression,Brick & Mortar,Retailer,India,India,APAC
90002015.0,Propel,Brick & Mortar,Retailer,India,India,APAC
90002016.0,Amazon,E-Commerce,Retailer,India,India,APAC
90003179.0,Acclaimed Stores,Brick & Mortar,Retailer,Indonesia,ROA,APAC
90003180.0,Amazon,E-Commerce,Retailer,Indonesia,ROA,APAC
90004061.0,Info Stores,Brick & Mortar,Retailer,Japan,ROA,APAC
90004062.0,Flawless Stores,Brick & Mortar,Retailer,Japan,ROA,APAC
90004063.0,Electricalsbea Stores,Brick & Mortar,Retailer,Japan,ROA,APAC
90004064.0,All-Out,Brick & Mortar,Retailer,Japan,ROA,APAC
90004065.0,Neptune,Brick & Mortar,Retailer,Japan,ROA,APAC
90004066.0,Surface Stores,Brick & Mortar,Retailer,Japan,ROA,APAC
90004067.0,Amazon,E-Commerce,Retailer,Japan,ROA,APAC
90004068.0,Amazon,E-Commerce,Retailer,Japan,ROA,APAC
90005159.0,Expression,Brick & Mortar,Retailer,Pakistan,ROA,APAC
90005160.0,Nomad Stores,Brick & Mortar,Retailer,Pakistan,ROA,APAC
90005161.0,Zone,Brick & Mortar,Retailer,Pakistan,ROA,APAC
90005162.0,Amazon,E-Commerce,Retailer,Pakistan,ROA,APAC
90006153.0,Insight,Brick & Mortar,Retailer,Philiphines,ROA,APAC
90006156.0,Amazon,E-Commerce,Retailer,Philiphines,ROA,APAC
90007197.0,Amazon,E-Commerce,Retailer,South Korea,ROA,APAC
90008164.0,Digimarket,Brick & Mortar,Retailer,Australia,ANZ,APAC
90008165.0,Forward Stores,Brick & Mortar,Retailer,Australia,ANZ,APAC
90008166.0,Sound,Brick & Mortar,Retailer,Australia,ANZ,APAC
90008167.0,Electricalsocity,Brick & Mortar,Retailer,Australia,ANZ,APAC
90008168.0,Amazon,E-Commerce,Retailer,Australia,ANZ,APAC
90009127.0,Epic Stores,Brick & Mortar,Retailer,Newzealand,ANZ,APAC
90009128.0,Propel,Brick & Mortar,Retailer,Newzealand,ANZ,APAC
90009129.0,Leader,Brick & Mortar,Retailer,Newzealand,ANZ,APAC
90009130.0,Logic Stores,Brick & Mortar,Retailer,Newzealand,ANZ,APAC
90009131.0,Path,Brick & Mortar,Retailer,Newzealand,ANZ,APAC
90009132.0,Amazon,E-Commerce,Retailer,Newzealand,ANZ,APAC
90010044.0,Surface Stores,Brick & Mortar,Retailer,Bangladesh,ROA,APAC
90010045.0,Control,Brick & Mortar,Retailer,Bangladesh,ROA,APAC
90010046.0,Amazon,E-Commerce,Retailer,Bangladesh,ROA,APAC
90011185.0,Epic Stores,Brick & Mortar,Retailer,France,SE,EU
90011186.0,Elite,Brick & Mortar,Retailer,France,SE,EU
90011187.0,Chip 7,Brick & Mortar,Retailer,France,SE,EU
90011188.0,Elkjøp,Brick & Mortar,Retailer,France,SE,EU
90011189.0,UniEuro,Brick & Mortar,Retailer,France,SE,EU
90011190.0,Media Markt,Brick & Mortar,Retailer,France,SE,EU
90011191.0,Sorefoz,Brick & Mortar,Retailer,France,SE,EU
90011192.0,Amazon,E-Commerce,Retailer,France,SE,EU
90012033.0,Digimarket,Brick & Mortar,Retailer,Germany,NE,EU
90012034.0,Otto,Brick & Mortar,Retailer,Germany,NE,EU
90012035.0,Notebillig,Brick & Mortar,Retailer,Germany,NE,EU
90012036.0,Billa,Brick & Mortar,Retailer,Germany,NE,EU
90012037.0,Saturn,Brick & Mortar,Retailer,Germany,NE,EU
90012038.0,Expert,Brick & Mortar,Retailer,Germany,NE,EU
90012039.0,Currys (Dixons Carphone),Brick & Mortar,Retailer,Germany,NE,EU
90012040.0,Fnac-Darty,Brick & Mortar,Retailer,Germany,NE,EU
90012041.0,Amazon,E-Commerce,Retailer,Germany,NE,EU
90013116.0,Unity Stores,Brick & Mortar,Retailer,Italy,SE,EU
90013117.0,Euronics,Brick & Mortar,Retailer,Italy,SE,EU
90013118.0,Fnac-Darty,Brick & Mortar,Retailer,Italy,SE,EU
90013119.0,Argos (Sainsbury's),Brick & Mortar,Retailer,Italy,SE,EU
90013120.0,Coolblue,Brick & Mortar,Retailer,Italy,SE,EU
90013121.0,Boulanger,Brick & Mortar,Retailer,Italy,SE,EU
90013122.0,Radio Popular,Brick & Mortar,Retailer,Italy,SE,EU
90013123.0,Expert,Brick & Mortar,Retailer,Italy,SE,EU
90013124.0,Amazon,E-Commerce,Retailer,Italy,SE,EU
90014135.0,Electricalslance Stores,Brick & Mortar,Retailer,Netherlands,NE,EU
90014136.0,Reliance Digital,Brick & Mortar,Retailer,Netherlands,NE,EU
90014137.0,Media Markt,Brick & Mortar,Retailer,Netherlands,NE,EU
90014138.0,Mbit,Brick & Mortar,Retailer,Netherlands,NE,EU
90014139.0,Elkjøp,Brick & Mortar,Retailer,Netherlands,NE,EU
90014140.0,Radio Popular,Brick & Mortar,Retailer,Netherlands,NE,EU
90014141.0,Amazon,E-Commerce,Retailer,Netherlands,NE,EU
90015144.0,Sound,Brick & Mortar,Retailer,Norway,NE,EU
90015145.0,Synthetic,Brick & Mortar,Retailer,Norway,NE,EU
90015146.0,Mbit,Brick & Mortar,Retailer,Norway,NE,EU
90015147.0,Chiptec,Brick & Mortar,Retailer,Norway,NE,EU
90015148.0,Boulanger,Brick & Mortar,Retailer,Norway,NE,EU
90015149.0,UniEuro,Brick & Mortar,Retailer,Norway,NE,EU
90015150.0,Amazon,E-Commerce,Retailer,Norway,NE,EU
90016171.0,Electricalsara Stores,Brick & Mortar,Retailer,Poland,NE,EU
90016172.0,Power,Brick & Mortar,Retailer,Poland,NE,EU
90016173.0,Expert,Brick & Mortar,Retailer,Poland,NE,EU
90016174.0,Currys (Dixons Carphone),Brick & Mortar,Retailer,Poland,NE,EU
90016175.0,Argos (Sainsbury's),Brick & Mortar,Retailer,Poland,NE,EU
90016176.0,Amazon,E-Commerce,Retailer,Poland,NE,EU
90017049.0,Premium Stores,Brick & Mortar,Retailer,Portugal,SE,EU
90017050.0,Electricalsara Stores,Brick & Mortar,Retailer,Portugal,SE,EU
90017051.0,Forward Stores,Brick & Mortar,Retailer,Portugal,SE,EU
90017052.0,Power,Brick & Mortar,Retailer,Portugal,SE,EU
90017053.0,Info Stores,Brick & Mortar,Retailer,Portugal,SE,EU
